类目,类目链接,型号,描述
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼NEX-VG30EH 四胶囊空间阵列立体声麦克风，专业手动操控,四胶囊空间阵列立体声麦克风，专业手动操控
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,GoPro Hero4 Black 运动摄像机，超级视角模式，蓝牙连接,运动摄像机，超级视角模式，蓝牙连接
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼HXR-NX5R 专业级便携高清摄录，29.5mm广角,专业级便携高清摄录，29.5mm广角
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼HDR-PJ410 精巧便携，30倍光学变焦，内置投影随时分享,精巧便携，30倍光学变焦，内置投影随时分享
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,佳能EOS C300 Mark II 4K摄像机，Super35英寸传感器，防尘防水滴,4K摄像机，Super35英寸传感器，防尘防水滴
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼HDR-CX610E 平稳光学防抖，30倍光学变焦，3英寸触摸屏,平稳光学防抖，30倍光学变焦，3英寸触摸屏
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼HDR-CX450 高清摄像机，BIONZ X影像处理器，30倍光学变焦,高清摄像机，BIONZ X影像处理器，30倍光学变焦
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,松下AG-FC100MC 4K无线摄像机，MOS传感器，20倍光学变焦,4K无线摄像机，MOS传感器，20倍光学变焦
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼PXW-X160 三个1/2.8英寸传感器，25倍光学变焦，独立手动变焦环,三个1/2.8英寸传感器，25倍光学变焦，独立手动变焦环
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼FDR-AXP35 4K摄像机，翻转液晶屏，光学防抖，支持WIFI,4K摄像机，翻转液晶屏，光学防抖，支持WIFI
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼NEX-EA50CH 大画幅摄录一体机，机械快门，可手持/肩扛,大画幅摄录一体机，机械快门，可手持/肩扛
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,佳能EOS C300 C-Loc高宽容度电影模式，高感光度，EF卡口,C-Loc高宽容度电影模式，高感光度，EF卡口
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,松下HC-PV100 全高清视频，20倍光学变焦，F1.8超大光圈,全高清视频，20倍光学变焦，F1.8超大光圈
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼CX900E 1英寸传感器，100fps录制模式，支持WiFi/NFC,1英寸传感器，100fps录制模式，支持WiFi/NFC
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼NEX-FS700 4K全画幅摄录一体机，4档ND滤镜，组合式机身,4K全画幅摄录一体机，4档ND滤镜，组合式机身
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,JVC JY-HM360 背照式CMOS传感器，接口十分丰富,背照式CMOS传感器，接口十分丰富
MP3,http://detail.zol.com.cn/mp3_player/,昂达N15 录音电子书，运动跑步音乐播放器,录音电子书，运动跑步音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,艾利和AK380 WIFI蓝牙4.0，HIFI播放器,WIFI蓝牙4.0，HIFI播放器
MP3,http://detail.zol.com.cn/mp3_player/,飞傲X5 便携无损音乐播放器，HIFI播放器,便携无损音乐播放器，HIFI播放器
MP3,http://detail.zol.com.cn/mp3_player/,苹果iPod shuffle 4（2GB） 迷你播放器，运动跑步播放器,迷你播放器，运动跑步播放器
MP3,http://detail.zol.com.cn/mp3_player/,colorfly Pocket HiFi C3（4GB） 数字音效,数字音效
MP3,http://detail.zol.com.cn/mp3_player/,HiFiMAN HM-700S（8GB） HIFI无损音乐播放器，便携播放器,HIFI无损音乐播放器，便携播放器
MP3,http://detail.zol.com.cn/mp3_player/,苹果iPod nano 7（16GB） 蓝牙音乐播放器，随身听,蓝牙音乐播放器，随身听
MP3,http://detail.zol.com.cn/mp3_player/,索尼NWZ-ZX1 智能WiFi安卓系统，无损音乐播放器,智能WiFi安卓系统，无损音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,索尼NWZ-B183F（4GB） 迷你播放器，运动跑步随身听,迷你播放器，运动跑步随身听
MP3,http://detail.zol.com.cn/mp3_player/,索尼NW-ZX2（128GB） WiFi蓝牙，无损音乐播放器,WiFi蓝牙，无损音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,索尼NW-ZX300A 产品类型:纯音频MP3 存储容量:16GB/64GB 扩展卡:支持microSD卡 音频格式:MQA，APE文件格式 电池类型:锂电池 续航时间:可支持播放约26小时的Flac格式音频(96kHz/24bit)或约30小时的MP3音频(128 kbps) 传输接口:USB,产品类型:纯音频MP3 存储容量:16GB/64GB 扩展卡:支持microSD卡 音频格式:MQA，APE文件格式 电池类型:锂电池 续航时间:可支持播放约26小时的Flac格式音频(96kHz/24bit)或约30小时的MP3音频(128 kbps) 传输接口:USB
MP3,http://detail.zol.com.cn/mp3_player/,索尼NW-A25（16GB） 蓝牙3.0，无损音乐播放器,蓝牙3.0，无损音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,飞利浦SA2208（8GB） 快充录音FM麦克风,快充录音FM麦克风
MP3,http://detail.zol.com.cn/mp3_player/,索尼NW-A45 产品类型:纯音频MP3 FM功能:支持 扩展卡:支持MicroSD（TF）卡，最大128GB 屏幕尺寸:3.1英寸 音频格式:支持MP3，WMA，FLAC，Linear PCM，AAC，HE-AAC，Apple Lossless，AIFF，DSD格式 电池类型:锂电池,产品类型:纯音频MP3 FM功能:支持 扩展卡:支持MicroSD（TF）卡，最大128GB 屏幕尺寸:3.1英寸 音频格式:支持MP3，WMA，FLAC，Linear PCM，AAC，HE-AAC，Apple Lossless，AIFF，DSD格式 电池类型:锂电池
MP3,http://detail.zol.com.cn/mp3_player/,索尼NWZ-WS615 智能遥控，蓝牙4.0,智能遥控，蓝牙4.0
MP3,http://detail.zol.com.cn/mp3_player/,苹果iPod shuffle 5 25种语言,25种语言
MP3,http://detail.zol.com.cn/mp3_player/,索尼NWZ-M504 数字降噪录音FM,数字降噪录音FM
MP3,http://detail.zol.com.cn/mp3_player/,艾利和AK100（32GB） 无损音乐播放器,无损音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,索尼NWZ-A15 醇音技术，蓝牙2.1，支持多种视频格式,醇音技术，蓝牙2.1，支持多种视频格式
MP3,http://detail.zol.com.cn/mp3_player/,索尼NW-ZX100/SM（128GB） 降噪蓝牙3.0，HIFI播放器,降噪蓝牙3.0，HIFI播放器
MP3,http://detail.zol.com.cn/mp3_player/,欧恩Q9（4GB） 录音FM，迷你运动播放器,录音FM，迷你运动播放器
MP3,http://detail.zol.com.cn/mp3_player/,索尼NWZ-A17 HIFI播放器，高清音质，无损发烧播放器,HIFI播放器，高清音质，无损发烧播放器
MP3,http://detail.zol.com.cn/mp3_player/,艾利和AK120 蓝牙3.0，便携无损音乐播放器,蓝牙3.0，便携无损音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,艾利和AK240 WiFi蓝牙OTG,WiFi蓝牙OTG
MP3,http://detail.zol.com.cn/mp3_player/,索尼NW-WS413 可穿戴式，运动防水耳机播放器,可穿戴式，运动防水耳机播放器
MP3,http://detail.zol.com.cn/mp3_player/,索尼NW-A35（16GB） 产品类型:纯音频MP3 存储容量:16GB FM功能:支持 扩展卡:支持MicroSD（TF），microSDHC，microSDXC卡 屏幕尺寸:3.1英寸 音频格式:支持MP3，WMA，FLAC，Linear PCM，AAC，HE-AAC，Apple Lossless，AIFF，DSD格式 电池类型:锂电池,产品类型:纯音频MP3 存储容量:16GB FM功能:支持 扩展卡:支持MicroSD（TF），microSDHC，microSDXC卡 屏幕尺寸:3.1英寸 音频格式:支持MP3，WMA，FLAC，Linear PCM，AAC，HE-AAC，Apple Lossless，AIFF，DSD格式 电池类型:锂电池
MP3,http://detail.zol.com.cn/mp3_player/,爱国者MP3-105 产品类型:普通视频MP3 存储容量:8GB 扩展卡:支持MicroSD（TF）卡，最大64GB 屏幕尺寸:2.0英寸 音频格式:MP3/WMA/WAV/FLAC/APE/ACC/OGG 电池类型:锂电池 续航时间:理论视频回放时间：25小时,产品类型:普通视频MP3 存储容量:8GB 扩展卡:支持MicroSD（TF）卡，最大64GB 屏幕尺寸:2.0英寸 音频格式:MP3/WMA/WAV/FLAC/APE/ACC/OGG 电池类型:锂电池 续航时间:理论视频回放时间：25小时
MP3,http://detail.zol.com.cn/mp3_player/,索尼Walkman NW-E394 米奇头按键，锂离子电池,米奇头按键，锂离子电池
MP3,http://detail.zol.com.cn/mp3_player/,colorfly Pocket HiFi C4（16GB） HIFI无损音乐播放器,HIFI无损音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,飞傲M3 便携高清，无损音乐播放器，HIFI播放器,便携高清，无损音乐播放器，HIFI播放器
MP3,http://detail.zol.com.cn/mp3_player/,索尼NWZ-F806N（32GB） 高清降噪，安卓系统，WiFi蓝牙,高清降噪，安卓系统，WiFi蓝牙
MP3,http://detail.zol.com.cn/mp3_player/,HiFiMAN HM-603（16GB） 便携高保真播放器,便携高保真播放器
MP3,http://detail.zol.com.cn/mp3_player/,艾利和AK Jr 蓝牙4.0，HIFI播放器，便携无损音乐播放器,蓝牙4.0，HIFI播放器，便携无损音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,索尼NWZ-F885 安卓系统，数字功放,安卓系统，数字功放
MP3,http://detail.zol.com.cn/mp3_player/,欧恩Q7（4GB） FM收音录音，无损音乐播放器,FM收音录音，无损音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,飞傲X1Ⅱ 车载蓝牙4.0，便携高清，HIFI无损音乐播放器,车载蓝牙4.0，便携高清，HIFI无损音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,索尼NWZ-W273（4GB） 快充，防滴溅运动式播放器,快充，防滴溅运动式播放器
MP3,http://detail.zol.com.cn/mp3_player/,山灵M1 智能蓝牙，便携式无损音乐，HIFI播放器,智能蓝牙，便携式无损音乐，HIFI播放器
MP3,http://detail.zol.com.cn/mp3_player/,索尼NW-WM1A/BM（128GB） 铝制机身，USB2.0接口，4英寸屏幕,铝制机身，USB2.0接口，4英寸屏幕
MP3,http://detail.zol.com.cn/mp3_player/,飞傲X3 HIFI播放器，无损音乐播放器,HIFI播放器，无损音乐播放器
MP3,http://detail.zol.com.cn/mp3_player/,飞傲X5Ⅲ 产品类型:智能MP3 存储容量:32GB 扩展卡:支持双TF卡，256GB*2 屏幕尺寸:3.97英寸 屏幕分辨率:480×800像素 OTG功能:支持,产品类型:智能MP3 存储容量:32GB 扩展卡:支持双TF卡，256GB*2 屏幕尺寸:3.97英寸 屏幕分辨率:480×800像素 OTG功能:支持
MP3,http://detail.zol.com.cn/mp3_player/,飞傲X7 Mark Ⅱ 产品类型:智能MP3 存储容量:64GB 扩展卡:支持双MicroSD（TF）卡，最大512GB 屏幕尺寸:3.97英寸 屏幕分辨率:480×800像素 电池类型:聚合物锂电池,产品类型:智能MP3 存储容量:64GB 扩展卡:支持双MicroSD（TF）卡，最大512GB 屏幕尺寸:3.97英寸 屏幕分辨率:480×800像素 电池类型:聚合物锂电池
MP3,http://detail.zol.com.cn/mp3_player/,爱国者MP3-103 迷你音乐播放器，无损高音质跑步运动,迷你音乐播放器，无损高音质跑步运动
MP3,http://detail.zol.com.cn/mp3_player/,飞利浦Action（4GB） 头戴式运动播放器,头戴式运动播放器
MP3,http://detail.zol.com.cn/mp3_player/,Cayin N5ii 产品类型:纯音频MP3 存储容量:运行内存：1G DDR3 储存内存：32GB+外置插卡256GB*2 屏幕尺寸:3.65英寸 屏幕分辨率:480×845像素 续航时间:9小时以上 产品重量:150g 操作方式:触摸式+按键式,产品类型:纯音频MP3 存储容量:运行内存：1G DDR3 储存内存：32GB+外置插卡256GB*2 屏幕尺寸:3.65英寸 屏幕分辨率:480×845像素 续航时间:9小时以上 产品重量:150g 操作方式:触摸式+按键式
MP3,http://detail.zol.com.cn/mp3_player/,索尼NWZ-W273S（4GB） 快充，防滴溅运动式播放器,快充，防滴溅运动式播放器
MP3,http://detail.zol.com.cn/mp3_player/,索尼NW-WM1Z/NM（256GB） 产品类型:纯音频MP3 存储容量:256GB 扩展卡:支持MicroSD（TF），microSDHC，microSDXC卡 屏幕尺寸:4.0英寸 屏幕分辨率:854×480像素 音频格式:支持MP3，WMA，FLAC，Linear PCM，AAC，HE-AAC，Apple Lossless，AIFF，DSD格式 电池类型:锂电池,产品类型:纯音频MP3 存储容量:256GB 扩展卡:支持MicroSD（TF），microSDHC，microSDXC卡 屏幕尺寸:4.0英寸 屏幕分辨率:854×480像素 音频格式:支持MP3，WMA，FLAC，Linear PCM，AAC，HE-AAC，Apple Lossless，AIFF，DSD格式 电池类型:锂电池
MP3,http://detail.zol.com.cn/mp3_player/,飞傲X7 WiFi智能安卓系统，无损音乐播放器，HIFI播放器,WiFi智能安卓系统，无损音乐播放器，HIFI播放器
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕sense 6 产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:20000mAh 输出接口:双USB输出 理论转换率:85% 实际转换率:96.22%（恒定电流1A）；82.41%（恒流电流2.1A）,产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:20000mAh 输出接口:双USB输出 理论转换率:85% 实际转换率:96.22%（恒定电流1A）；82.41%（恒流电流2.1A）
移动电源,http://detail.zol.com.cn/pocketpower/,"品能PN-913 产品类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:10000mAh 产品电压:输入：DC4.8-5.4V，输出：5V 产品电流:输入：1A-2A 输出：1A,2.1A 输入接口:Micro USB","产品类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:10000mAh 产品电压:输入：DC4.8-5.4V，输出：5V 产品电流:输入：1A-2A 输出：1A,2.1A 输入接口:Micro USB"
移动电源,http://detail.zol.com.cn/pocketpower/,摩米士iPower GO mini小旅行箱（online） 产品类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:7800mAh 理论转换率:93%以上 实际转换率:80%（恒定电流2A） 产品电压:输入：5V 输出：5V,产品类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:7800mAh 理论转换率:93%以上 实际转换率:80%（恒定电流2A） 产品电压:输入：5V 输出：5V
移动电源,http://detail.zol.com.cn/pocketpower/,爱唯克思RV-30000A 产品类型:普通移动电源 携带方式:通用分体式 电池类型:聚合物锂电池 电池容量:30000mAh 产品电压:输入：15V-19V 输出：5V（USB1），5V（USB2），12V/16V/19V（DC输出） 产品电流:输入：2A 输出：1A（USB1），2A（USB2），12V/16V/19V（DC输出） 输入接口:DC,产品类型:普通移动电源 携带方式:通用分体式 电池类型:聚合物锂电池 电池容量:30000mAh 产品电压:输入：15V-19V 输出：5V（USB1），5V（USB2），12V/16V/19V（DC输出） 产品电流:输入：2A 输出：1A（USB1），2A（USB2），12V/16V/19V（DC输出） 输入接口:DC
移动电源,http://detail.zol.com.cn/pocketpower/,安能泰AN10000 产品类型:普通移动电源 携带方式:通用分体式 电池类型:聚合物锂电池 电池容量:8000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：1.5A 输出：2.1A 充电时间:1安适配器充满约15小时。2安适配器充满约8小时。,产品类型:普通移动电源 携带方式:通用分体式 电池类型:聚合物锂电池 电池容量:8000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：1.5A 输出：2.1A 充电时间:1安适配器充满约15小时。2安适配器充满约8小时。
移动电源,http://detail.zol.com.cn/pocketpower/,爱国者E100 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:10000mAh 输出接口:双USB输出 实际应用转换率:83.17%（恒定电流2A） 特色功能:LED灯照明,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:10000mAh 输出接口:双USB输出 实际应用转换率:83.17%（恒定电流2A） 特色功能:LED灯照明
移动电源,http://detail.zol.com.cn/pocketpower/,小米移动电源（10400mAh） 产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:10400mAh 输出接口:单USB输出 理论转换率:93% 实际应用转换率:80%（恒定电流2A）,产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:10400mAh 输出接口:单USB输出 理论转换率:93% 实际应用转换率:80%（恒定电流2A）
移动电源,http://detail.zol.com.cn/pocketpower/,品胜LCD电库二代 20000mAh 产品类型:通用分体式 适用设备:普通移动电源 电池容量:20000mAh 输出接口:双USB输出 理论转换率:90% 特色功能:LCD屏 产品电压:输入：5V 输出：5V,产品类型:通用分体式 适用设备:普通移动电源 电池容量:20000mAh 输出接口:双USB输出 理论转换率:90% 特色功能:LCD屏 产品电压:输入：5V 输出：5V
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕sense 6P 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:20000mAh 输出接口:双USB输出 理论转换率:85% 实际应用转换率:96.22%（恒定电流1A）；82.41%（恒流电流2.1A）,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:20000mAh 输出接口:双USB输出 理论转换率:85% 实际应用转换率:96.22%（恒定电流1A）；82.41%（恒流电流2.1A）
移动电源,http://detail.zol.com.cn/pocketpower/,小米移动电源（20000mAh） 产品类型:通用分体式 适用设备:普通移动电源 电池容量:20000mAh 输出接口:双USB输出 产品电压:输入：5V/12V 输出：5.1V 产品电流:输入：2A/1.5A 输出：2A/3.A 输入接口:Micro USB,产品类型:通用分体式 适用设备:普通移动电源 电池容量:20000mAh 输出接口:双USB输出 产品电压:输入：5V/12V 输出：5.1V 产品电流:输入：2A/1.5A 输出：2A/3.A 输入接口:Micro USB
移动电源,http://detail.zol.com.cn/pocketpower/,华为20000mAh快充版 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:20000mAh 产品电压:输入：5V/9V/12V 输出：5V 产品电流:输入：2A/1.5A 输出：2A 适用环境:充电温度：0-40℃ 放电温度：-10-45℃,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:20000mAh 产品电压:输入：5V/9V/12V 输出：5V 产品电流:输入：2A/1.5A 输出：2A 适用环境:充电温度：0-40℃ 放电温度：-10-45℃
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕派20000毫安 产品类型:通用分体式 电池容量:20000mAh 输出接口:双USB输出 理论转换率:85% 产品电压:输入：5V 输出：5V 产品电流:输入：2.1A 输出：1A，2.1A 充电时间:13小时,产品类型:通用分体式 电池容量:20000mAh 输出接口:双USB输出 理论转换率:85% 产品电压:输入：5V 输出：5V 产品电流:输入：2.1A 输出：1A，2.1A 充电时间:13小时
移动电源,http://detail.zol.com.cn/pocketpower/,小米移动电源（10000mAh） 产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:10000mAh 输出接口:单USB输出 理论转换率:93% 特色功能:保护恢复：使用充电器进行充电动作，即可恢复,产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:10000mAh 输出接口:单USB输出 理论转换率:93% 特色功能:保护恢复：使用充电器进行充电动作，即可恢复
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕sense 4 产品类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:10400mAh 理论转换率:85% 实际转换率:81.59%（恒定电流2A） 产品电压:输入：5V 输出：5V,产品类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:10400mAh 理论转换率:85% 实际转换率:81.59%（恒定电流2A） 产品电压:输入：5V 输出：5V
移动电源,http://detail.zol.com.cn/pocketpower/,华为10000mAh移动电源（快充版/AP09Q） 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:10000mAh 输出接口:单USB输出 理论转换率:大于93%@5V，89%@9V 产品电压:输入：5V 输出：5V,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:10000mAh 输出接口:单USB输出 理论转换率:大于93%@5V，89%@9V 产品电压:输入：5V 输出：5V
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕BE-101-01 产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:10000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：2A 输出：2.4A 适用产品:平板电脑，移动电话，MP3,产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:10000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：2A 输出：2.4A 适用产品:平板电脑，移动电话，MP3
移动电源,http://detail.zol.com.cn/pocketpower/,小米新款超薄5000mAh移动电源 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:5000mAh 输出接口:单USB输出 理论转换率:93% 产品电压:输入：5V 输出：5V,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:5000mAh 输出接口:单USB输出 理论转换率:93% 产品电压:输入：5V 输出：5V
移动电源,http://detail.zol.com.cn/pocketpower/,小米移动电源2C（20000mAh） 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:20000mAh 输出接口:双USB输出 理论转换率:93% 特色功能:支持QC3.0快充和快放，并支持双向充电，同时输出可达18W,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:20000mAh 输出接口:双USB输出 理论转换率:93% 特色功能:支持QC3.0快充和快放，并支持双向充电，同时输出可达18W
移动电源,http://detail.zol.com.cn/pocketpower/,品胜LED备电 10000mAh 产品类型:通用分体式 适用设备:普通移动电源 电池容量:10000mAh 输出接口:单USB输出 理论转换率:90% 产品电压:输入：5V 输出：5V 产品电流:输入：2A 输出：2A,产品类型:通用分体式 适用设备:普通移动电源 电池容量:10000mAh 输出接口:单USB输出 理论转换率:90% 产品电压:输入：5V 输出：5V 产品电流:输入：2A 输出：2A
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕eUSB sofun 6 产品类型:笔记本移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:16000mAh 产品电压:输入：DC 15V-20V 输出：DC12-20V，DC5V，5V（USB） 产品电流:输入：3.5A 输出：3.5A（DC接口），1A（DC接口），2.4A（USB） 充电时间:约3.5小时,产品类型:笔记本移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:16000mAh 产品电压:输入：DC 15V-20V 输出：DC12-20V，DC5V，5V（USB） 产品电流:输入：3.5A 输出：3.5A（DC接口），1A（DC接口），2.4A（USB） 充电时间:约3.5小时
移动电源,http://detail.zol.com.cn/pocketpower/,小米移动电源（16000Ah） 产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:16000mAh 输出接口:双USB输出 理论转换率:93% 产品电压:输入：5V 输出：5.1V,产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:16000mAh 输出接口:双USB输出 理论转换率:93% 产品电压:输入：5V 输出：5.1V
移动电源,http://detail.zol.com.cn/pocketpower/,品胜电库 10000mAh 电池类型:锂电池 电池容量:10000mAh 产品类型:通用移动电源 产品电压:输入：DC4.8-5.4V 2000mA（最大） 产品电流:输出：USB1：5V-1000mA USB2：5V-2000mA 输出接口:双USB 循环寿命:1000次,电池类型:锂电池 电池容量:10000mAh 产品类型:通用移动电源 产品电压:输入：DC4.8-5.4V 2000mA（最大） 产品电流:输出：USB1：5V-1000mA USB2：5V-2000mA 输出接口:双USB 循环寿命:1000次
移动电源,http://detail.zol.com.cn/pocketpower/,魅族M10 产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂离子聚合物 电池容量:10000mAh 输出接口:单USB输出 理论转换率:93% 实际应用转换率:80%,产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂离子聚合物 电池容量:10000mAh 输出接口:单USB输出 理论转换率:93% 实际应用转换率:80%
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕Freemos 10 产品类型:通用分体式 适用设备:无线充电移动电源 电池容量:10000mAh 输出接口:单USB输出 特色功能:支持无线充电 产品电压:输入：5V/9V 输出：12V 无线：5V 产品电流:输入：2A 输出：1.5A 无线：1A,产品类型:通用分体式 适用设备:无线充电移动电源 电池容量:10000mAh 输出接口:单USB输出 特色功能:支持无线充电 产品电压:输入：5V/9V 输出：12V 无线：5V 产品电流:输入：2A 输出：1.5A 无线：1A
移动电源,http://detail.zol.com.cn/pocketpower/,品胜TS-D151 易充四代 10000mAh 产品类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:10000mAh 实际转换率:88.84%（恒定电流2A） 产品电压:输出：5V 产品电流:输入：1A 输出：2A,产品类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:10000mAh 实际转换率:88.84%（恒定电流2A） 产品电压:输出：5V 产品电流:输入：1A 输出：2A
移动电源,http://detail.zol.com.cn/pocketpower/,小米移动电源 10000mAh 高配版 产品类型:通用分体式 适用设备:普通移动电源,产品类型:通用分体式 适用设备:普通移动电源
移动电源,http://detail.zol.com.cn/pocketpower/,索尼CP-B20 产品类型:普通移动电源 携带方式:通用分体式 电池类型:聚合物锂电池 电池容量:20000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：0.5-1.5A 输出： 充电时间:AC适配器：约15小时 USB口：约50小时,产品类型:普通移动电源 携带方式:通用分体式 电池类型:聚合物锂电池 电池容量:20000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：0.5-1.5A 输出： 充电时间:AC适配器：约15小时 USB口：约50小时
移动电源,http://detail.zol.com.cn/pocketpower/,爱国者TN104 适用类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:10400mAh 输出接口:双USB输出 产品电压:输入：5V 输出：5V 产品电流:输入：1A 输出：1A，2.1A,适用类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:10400mAh 输出接口:双USB输出 产品电压:输入：5V 输出：5V 产品电流:输入：1A 输出：1A，2.1A
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕polymos 10 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:10000mAh 输出接口:双USB输出 实际应用转换率:87.07%（恒定电流2A） 产品电压:输入：5V 输出：5V,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:10000mAh 输出接口:双USB输出 实际应用转换率:87.07%（恒定电流2A） 产品电压:输入：5V 输出：5V
移动电源,http://detail.zol.com.cn/pocketpower/,华为5000mAh 移动电源（AP006L） 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:5000mAh 输出接口:单USB输出 产品电压:4.5V-5.25V 产品电流:2A,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:5000mAh 输出接口:单USB输出 产品电压:4.5V-5.25V 产品电流:2A
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕PH80-270 产品类型:通用分体式 适用设备:普通移动电源 电池容量:20000mAh 输出接口:双USB输出 理论转换率:85% 产品电压:输入：5V 输出：5V 产品电流:输入：2.1 输出：1A/2.1A,产品类型:通用分体式 适用设备:普通移动电源 电池容量:20000mAh 输出接口:双USB输出 理论转换率:85% 产品电压:输入：5V 输出：5V 产品电流:输入：2.1 输出：1A/2.1A
移动电源,http://detail.zol.com.cn/pocketpower/,小米移动电源（5200mAh） 产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:5200mAh 输出接口:单USB输出 理论转换率:85% 特色功能:保护恢复：使用充电器进行充电动作，即可恢复,产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:5200mAh 输出接口:单USB输出 理论转换率:85% 特色功能:保护恢复：使用充电器进行充电动作，即可恢复
